"","CASENUM","fire_indicator"
"1","201600014311","0"
"2","201600014315","0"
"3","201600014316","0"
"4","201600014335","0"
"5","201600014586","0"
"6","201600014593","0"
"7","201600014603","0"
"8","201600014610","0"
"9","201600014622","0"
"10","201600014624","0"
"11","201600015222","0"
"12","201600015227","0"
"13","201600015251","0"
"14","201600015256","0"
"15","201600015257","0"
"16","201600015268","0"
"17","201600015305","0"
"18","201600015805","0"
"19","201600015883","0"
"20","201600015924","0"
"21","201600015934","0"
"22","201600015940","0"
"23","201600015944","0"
"24","201600015948","0"
"25","201600015958","0"
"26","201600015960","0"
"27","201600015967","0"
"28","201600016011","0"
"29","201600016014","0"
"30","201600016016","0"
"31","201600016018","0"
"32","201600016026","0"
"33","201600016027","0"
"34","201600016163","0"
"35","201600016164","1"
"36","201600016166","0"
"37","201600016167","0"
"38","201600016169","0"
"39","201600016171","0"
"40","201600016175","0"
"41","201600016176","0"
"42","201600016184","0"
"43","201600016195","0"
"44","201600016200","0"
"45","201600016203","0"
"46","201600016215","0"
"47","201600016218","0"
"48","201600016237","0"
"49","201600016254","0"
"50","201600016258","0"
"51","201600016261","0"
"52","201600016301","0"
"53","201600016319","0"
"54","201600016321","0"
"55","201600016323","0"
"56","201600016343","0"
"57","201600016363","0"
"58","201600016366","0"
"59","201600016371","0"
"60","201600016399","0"
"61","201600016403","0"
"62","201600016410","0"
"63","201600016422","0"
"64","201600016430","0"
"65","201600016442","0"
"66","201600016448","0"
"67","201600016454","0"
"68","201600016488","0"
"69","201600016493","0"
"70","201600016502","0"
"71","201600016551","0"
"72","201600016581","0"
"73","201600016594","0"
"74","201600016608","0"
"75","201600016637","0"
"76","201600016644","0"
"77","201600016648","0"
"78","201600016762","0"
"79","201600016836","0"
"80","201600016851","0"
"81","201600016856","0"
"82","201600016866","0"
"83","201600016876","0"
"84","201600016894","0"
"85","201600016905","0"
"86","201600016912","0"
"87","201600016913","0"
"88","201600016915","0"
"89","201600016919","0"
"90","201600016926","0"
"91","201600016941","0"
"92","201600016943","0"
"93","201600016945","0"
"94","201600016950","0"
"95","201600016963","0"
"96","201600016964","0"
"97","201600016971","0"
"98","201600016975","0"
"99","201600016981","0"
"100","201600016989","0"
"101","201600016995","0"
"102","201600017002","0"
"103","201600017004","0"
"104","201600017006","0"
"105","201600017023","0"
"106","201600017057","0"
"107","201600017062","0"
"108","201600017065","0"
"109","201600017069","0"
"110","201600017123","0"
"111","201600017143","0"
"112","201600017146","0"
"113","201600017170","0"
"114","201600017191","0"
"115","201600017230","0"
"116","201600017255","0"
"117","201600017272","0"
"118","201600017282","0"
"119","201600017286","0"
"120","201600017314","0"
"121","201600017348","0"
"122","201600017363","0"
"123","201600017384","0"
"124","201600017388","0"
"125","201600017399","0"
"126","201600017608","0"
"127","201600017625","0"
"128","201600017694","0"
"129","201600017728","0"
"130","201600017781","0"
"131","201600017782","0"
"132","201600017785","0"
"133","201600017796","0"
"134","201600017799","0"
"135","201600017899","0"
"136","201600017900","0"
"137","201600018097","0"
"138","201600018174","0"
"139","201600018175","0"
"140","201600018178","0"
"141","201600018190","0"
"142","201600018198","0"
"143","201600018200","1"
"144","201600018206","0"
"145","201600018221","0"
"146","201600018228","0"
"147","201600018229","0"
"148","201600018231","0"
"149","201600018235","1"
"150","201600018236","0"
"151","201600018244","0"
"152","201600018247","0"
"153","201600018249","0"
"154","201600018259","0"
"155","201600018260","0"
"156","201600018262","0"
"157","201600018269","0"
"158","201600018270","0"
"159","201600018280","0"
"160","201600018282","0"
"161","201600018284","0"
"162","201600018293","0"
"163","201600018294","0"
"164","201600018300","0"
"165","201600018302","0"
"166","201600018309","0"
"167","201600018313","0"
"168","201600018315","0"
"169","201600018324","0"
"170","201600018326","0"
"171","201600018333","0"
"172","201600018335","0"
"173","201600018344","0"
"174","201600018351","0"
"175","201600018353","0"
"176","201600018356","0"
"177","201600018357","0"
"178","201600018358","0"
"179","201600018359","0"
"180","201600018393","0"
"181","201600018404","0"
"182","201600018407","0"
"183","201600018414","0"
"184","201600018419","0"
"185","201600018423","0"
"186","201600018434","0"
"187","201600018457","0"
"188","201600018462","0"
"189","201600018465","0"
"190","201600018485","0"
"191","201600018488","0"
"192","201600018497","0"
"193","201600018498","0"
"194","201600018504","0"
"195","201600018509","0"
"196","201600018518","0"
"197","201600018526","0"
"198","201600018528","0"
"199","201600018535","0"
"200","201600018545","0"
"201","201600018548","0"
"202","201600018554","0"
"203","201600018567","0"
"204","201600018569","0"
"205","201600018572","0"
"206","201600018576","0"
"207","201600018582","0"
"208","201600018587","0"
"209","201600018592","0"
"210","201600018605","0"
"211","201600018610","0"
"212","201600018619","0"
"213","201600018620","0"
"214","201600018625","0"
"215","201600018628","0"
"216","201600018632","0"
"217","201600018633","0"
"218","201600018637","0"
"219","201600018649","0"
"220","201600018650","0"
"221","201600018655","0"
"222","201600018661","0"
"223","201600018662","0"
"224","201600018671","0"
"225","201600018678","0"
"226","201600018682","0"
"227","201600018695","0"
"228","201600018696","0"
"229","201600018697","0"
"230","201600018699","0"
"231","201600018702","0"
"232","201600018705","0"
